数据库工程师,云计划软件科技（上海）有限公司,0.7-1.2万/月
数据仓库开发工程师 - 创新工具,字节跳动,2.5-5万/月
数据主管/专员,深圳市全药网科技有限公司,0.8-1.6万/月
数据分析师,广东盛迪嘉集团有限公司,0.7-1万/月
人力资源专员（偏数据分析）,遨游酒店信息技术（深圳）有限责任公司,0.8-1万/月
数据处理工程师,TCL多媒体全球研发中心,1-2万/月
数据库工程师,深圳市紫川软件有限公司,1-1.5万/月
数据专员,深圳市博源医疗投资有限公司,4.5-6千/月
数据分析师,精英世家（深圳）教育科技有限责任公司,0.7-1万/月
急招数据统计文员,深圳金润吉金融服务有限公司,4.5-6千/月
数据挖掘工程师,深圳市微队信息技术有限公司,0.8-1.5万/月
数据库工程师,深圳市中电电力技术股份有限公司,1.5-2万/月
sz-数据分析（竞技）,CMGE中手游,1-1.5万/月
数据统计员/数据分析员,深圳市利朗达科技有限公司,4-6千/月
数据分析师/游戏数据分析,深圳市九游网络科技有限公司,1.2-2.5万/月
大数据讲师,深圳市漫动者教育科技有限公司,1.5-2万/月
电话邀约客服（强大数据资源+针对高意向客户）,深圳市盛世明德教育管理有限公司,0.8-1万/月
数据文员,深圳市环球易达供应链管理有限公司,4-6千/月
大数据开发工程师,深圳市星宇辉程科技有限公司,1.5-2万/月
数据分析员,深圳健安医药有限公司,4.5-6千/月
数据录入文员+包住双休,深圳市兴邦科技发展有限公司,4.5-6千/月
大数据分析师,深圳金湾雄鹰科技有限公司,2-3万/月
数据专员（广州）,深圳市汇通天下物流有限公司,4.5-6千/月
大数据开发,文思海辉技术有限公司Pactera Technology International Limited,2-2.5万/月
大数据开发工程师,文思海辉金融,1.5-2万/月
大数据架构师,深圳市璐克斯投资发展集团有限公司,3-5万/月
售后数据专员,深圳宝源行汽车销售服务有限公司,5-8千/月
Oracle 数据库初级管理员,深圳市星火电子工程公司,6-8千/月
数据线包装普工8000月薪 服务员,广东友智电子科技有限公司,6-8千/月
数据算法工程师,普联技术有限公司（TP-LINK),2-3.5万/月
电商数据分析师,广州澳远电子商务有限责任公司,1-2.5万/月
大数据解决方案架构师,上海跬智信息技术有限公司,2-4万/月
博士后（高性能计算、大数据、人工智能）,国家超级计算深圳中心（深圳云计算中心）,40-50万/年
数据项目经理,深圳市讯科龙网络技术有限公司,1.5-2万/月
数据统计员,比户环保科技（深圳）有限公司,4.5-6千/月
数据分析专员/数据分析师,深圳市布先生服饰有限公司,0.8-1万/月
运作数据专员,深圳莱尔托特科技有限公司,4.5-6千/月
课程顾问+高意向数据+免费进修,深圳市勤学教育有限公司,0.8-1万/月
数据审核工程师（保化）,华测检测认证集团股份有限公司,0.8-1万/月
主数据管理员,深圳银澎云计算有限公司,4.5-6.5千/月
数据分析工程师,深圳瑞莱保核能技术发展有限公司,4.5-6千/月
数据分析员,深圳超多维科技有限公司,3-5千/月
商品专员/商品管理/商品数据分析,深圳市迅衣库服饰有限公司,4.5-6千/月
数据运营分析师,深圳市康凯斯信息技术有限公司,0.9-1.2万/月
销售专员（公司提供数据）,深圳阿童木教育科技有限公司,0.8-1万/月
数据挖掘工程师,深圳市菁优智慧教育股份有限公司,1-1.5万/月
Data Mining Engineer/数据挖掘工程师_AA,博世汽车服务技术（苏州）有限公司,
IoT平台AI amp大数据PM专家,华为技术有限公司,3-4万/月
大数据开发实习生/理工科优先,深圳市金博隆商贸有限公司,4.5-6千/月
绘图及数据录入（重庆）,深圳市中电数通智慧安全科技股份有限公司,5-5.5千/月
数据线包装工普工7000/月+五险一金,广东友智电子科技有限公司,0.8-1万/月
亚马逊产品数据调研,深圳市路特电子商务有限公司,3-4.5千/月
数据管理员,深圳市华创恒达科技有限公司,4.5-6千/月
10086内聘数据核对专员/包住/朝九晚六,大不同信息产业（深圳）有限公司,4.5-6千/月
运营数据分析,博彦科技承德有限公司,0.8-1万/月
数据开发工程师,深圳碳云智能数字生命健康管理有限公司,1-2万/月
大数据开发工程师,深圳市涌浪网络技术有限公司,1.5-3万/月
大数据分析师,深圳市城市公共安全技术研究院有限公司,1-3万/月
设计工程师（数据中心-广州）,深圳华电智能股份有限公司,0.8-1.5万/月
高级客户经理（数据中心/建筑智能化）,浩德科技股份有限公司,0.6-1万/月
数据挖掘工程师,弗若斯特沙利文（北京）咨询有限公司上海分公司,1.5-2万/月
DBA/数据库工程师 （深圳）,深圳友德医科技有限公司,1.5-2.5万/月
数据通信工程师（售前岗）,南方银谷科技有限公司,1.2-2万/月
DB2数据库工程师（招商银行）,同方鼎欣科技股份有限公司,2-2.5万/月
数据分析员,深圳市金活医药有限公司,6-8千/月
数据分析师,深圳爱嘻科技有限公司,0.6-1万/月
高级/主任研究工程师（大数据）,深圳微知科技有限公司,0.9-3万/月
ERP数据库开发员,深圳宝福珠宝有限公司,7-9千/月
数据工程师（外包-中移信息）,网思科技股份有限公司,0.8-1万/月
大数据软件工程师,深圳市都市数据技术有限公司,1.5-3.5万/月
大数据开发工程师,深圳市点嘀互联网络有限公司,1.5-2万/月
数据录入员,世纪冠航国际货运代理（深圳）有限公司,3.7-5千/月
大数据管理专员（商务对接）,深圳市恒信永利金融服务有限公司,0.8-1万/月
数据分析师,深圳品世创新科技有限公司,0.8-1.5万/月
大数据开发工程师,深圳市安华计算机有限公司,1-3万/月
数据库工程师,北京银河聚阵网络技术有限公司,1-1.8万/月
数据员（广州办公）,广东韩江通信科技有限公司,3.5-6千/月
数据分析主管,深圳市勒朗国际贸易有限公司,1.2-1.8万/月
亚马逊数据分析员,深圳前海启晋供应链有限公司,4.5-6千/月
教学助理 - 数据科学硕士项目,香港中文大学（深圳）,6-8千/月
大数据架构师,深圳市德奥信息技术有限公司,1.5-2万/月
大数据开发工程师,深圳市悦动天下科技有限公司,1.2-2.4万/月
数据建模/风险分析,亚联财小额贷款,0.7-1.2万/月
SEM数据运营高级分析师,深圳市欢乐地铁站餐饮投资管理有限公司,1-1.5万/月
初级数据库运维工程师,深圳市无忧时代科技有限公司,0.8-1万/月
数据库运维工程师,深圳市文华数图信息咨询有限公司,5.5-9千/月
高级Java开发工程师（数据仓库方向）,深圳万乘联合投资有限公司,1.3-2万/月
大数据软件销售,上海态特网络科技有限公司,1-2万/月
数据专员,深圳纳实大数据技术有限公司,0.8-1.5万/月
高级数据分析师,苏州奖多多科技有限公司,1.5-3万/月
人工智能数据标注实习生,TCL集团工业研究院,3.5-6千/月
DBA运维工程师/数据管理工程师,普罗旺斯科技（深圳）有限公司,1-1.5万/月
商品数据分析专员,深圳市迪凯服饰有限公司,4-6千/月
大数据挖掘工程师 (MJ000198),中腾信金融信息服务（上海）有限公司,1.5-2.5万/月
业务数据助理,深圳市易贝通科技有限公司,4-8千/月
模块化数据中心产品行销经理,深圳市艾特网能技术有限公司,1-1.5万/月
数据专员,深圳市韵达速递有限公司,4-5.5千/月
游戏数据分析师,深圳市前海奥尼科技有限公司,0.5-1万/月
数据挖掘工程师,亚思博网络科技（深圳）有限公司,1-1.5万/月
数据文员,深圳市凌隆商贸有限公司,4.5-6千/月
IDC数据中心大客户经理,浙江天正电气股份有限公司,1-2万/月
华润银行2019校园招聘_数据开发工程师,珠海华润银行股份有限公司,18-22万/年
大数据开发工程师,深圳市德科信息技术有限公司,1-1.5万/月
数据会计/财务专员/财务管理,深圳市卓旺科技有限公司,4.5-6千/月
数据分析师,深圳市云创服装设计有限公司,1-1.5万/月
数据统计专员均薪6k双休,深圳市鑫达盛物流有限公司,6-8千/月
数据分析员,深圳前瞻资讯股份有限公司,4.5-6千/月
数据专员,深圳市深巨元信用咨询有限公司,4-6千/月
数据分析师,鹏鼎控股（深圳）股份有限公司,6-8千/月
数据文员,酷衣派服饰（深圳）有限公司,3-4千/月
数据专员,深圳泽盈投资管理有限公司,6-8千/月
数据挖掘工程师,深圳市樱吉尔国际教育咨询有限公司,1.5-2.5万/月
数据分析工程师,深圳市大头兄弟文化传播有限公司,1.5-3万/月
移动10086数据核对文员/行政班/包住,深圳市拓才信息产业有限公司,3-4.5千/月
数据分析师---驻腾讯视频OMG,深圳市视游互动科技有限公司,0.8-1万/月
系统数据运维工程师,深圳市凯德信息技术有限公司,0.8-1万/月
数据录入员（春节后上班）,澳屋进出口贸易（深圳）有限公司,4.5-6千/月
金融助理/数据分析/金融讲师 双休五险+有无经验均可,深圳市百德惠电子商务有限公司,0.8-1万/月
数据库管理专员,深圳市前海美联科技有限公司,1-1.5万/月
Python数据算法工程师,天智星（深圳）科技有限公司,2.5-4万/月
区域销售总监（数据中心）,依米康科技集团股份有限公司,30-40万/年
Java大数据工程师,深圳市懒人在线科技有限公司,1.5-2.5万/月
莱茵学院与生命关怀部数据/IT安全业务拓展经理,莱茵技术监督服务（广东）有限公司 TUV Rheinland (Guangdong) Ltd.,
大数据开发工程师,杰为软件系统（深圳）有限公司,1.5-2.5万/月
K2数据库管理员,深圳国人通信股份有限公司,0.6-1万/月
数据录入员,深圳市金永励实业发展有限公司,4-5千/月
数据分析师,成都运动叁陆伍体育有限公司,10-15万/年
数据分析主管（珠宝）,上海珂兰商贸有限公司深圳分公司,0.8-1万/月
高级数据分析师,深圳无界财富管理有限公司,1.5-3万/月
数据处理工程师（应届）,深圳市乐思软件技术有限公司,4.5-6千/月
数据分析师 包食宿180518x,上海如创网络技术有限公司,6-8千/月
数据管理员 DBA,AsiaInspection,0.8-1.5万/月
00223-大数据开发工程师,云集共享科技有限公司,1.5-3万/月
支付产品经理（大数据）,传易互联（深圳）有限公司,2.5-3.5万/月
数据产品经理,海南新浪爱问普惠科技有限公司,2-2.6万/月
数据平台开发工程师,深圳北斗星航网络科技有限公司,1-1.6万/月
ERP数据员,深圳市合元科技有限公司,4.5-6千/月
数据中心运维工程师（深圳）,上海安畅网络科技股份有限公司,5-8千/月
大数据架构师,广东中成卫星微电子发展有限公司,2-3万/月
大数据架构师,深圳市义泰昌餐饮管理有限公司,2-4万/月
亚马逊数据分析专员/市场分析专员/电商数据分析专员,前海优品无疆（深圳）科技有限公司,5-6千/月
数据统计员,新百丽鞋业(深圳)有限公司,4.5-6千/月
大数据方案经理,深圳微品致远信息科技有限公司,1-2万/月
数据库管理员（DBA）,深圳市中安信业创业投资有限公司总部,1.2-1.5万/月
数据产品经理,深圳碳原子科技有限公司,1.5-2万/月
核心出行大数据工程师/架构师,滴滴出行,1.5-2万/月
数据分析师（深圳）,北京国双科技有限公司,0.6-1万/月
大客户销售--（IDC数据中心业务）,深圳市优服网技术服务有限公司,0.7-1.5万/月
数据分析主管,四川物联亿达科技有限公司,0.7-1万/月
数据专员,深圳市阁兰秀服装设计有限公司,0.8-1万/月
数据分析,深圳启航创富互联网金融服务有限公司,0.8-1万/月
实习生-数据采集员（全国）,深圳市前海硕极科技有限公司,3-5千/月
数据线/DC线工程师,深圳市锦鸿泰科技有限公司,4.5-6千/月
软件开发工程师（数据库和项目管理方向）,平安利顺国际货币经纪有限责任公司,1.5-2万/月
数据统计员,深圳市易佰网络科技有限公司,4.5-6千/月
数据处理中心文员,德莎国际货运代理（深圳）有限公司,3-4千/月
数据分析：,深圳市城市佳人实业有限公司,3-4.5千/月
数据分析师,百丽集团,0.6-1万/月
运营数据经理,泰禾集团股份有限公司,1.5-2万/月
数据分析师,深圳给乐信息科技有限公司,0.7-1万/月
商品主管（数据主管）,深圳市艾维时尚服饰有限公司,7-9千/月
运营数据分析,弘华中威（深圳）科技有限公司,0.7-1.2万/月
数据分析师,深圳市亚投在线网络科技有限公司,6-8千/月
数据库工程师,上海携银信息科技有限公司,1-1.6万/月
数据库开发工程师PL/SQL,塔塔信息技术（中国）股份有限公司,1.5-2万/月
大数据咨询顾问,深圳市今天国际物流技术股份有限公司,2-2.5万/月
数据分析专员/主管,深圳前海优海淘跨境电子商务有限公司,6-9千/月
大数据架构师,印孚瑟斯技术（中国）有限公司,1.8-2.8万/月
课程顾问  意向精准客户 大数据资源,深圳市卓立教育科技有限公司,0.8-1.6万/月
运营数据分析师,深圳市泽宝电子商务股份有限公司,0.8-1.2万/月
数据中心项目经理(J11961),深圳前海金融科技服务有限公司,30-40万/年
数据分析岗位,成都迈思信息技术有限公司,0.8-1万/月
商品数据专员,深圳雅元时装有限公司,6-8千/月
营销副总（数据中心）,安华智能股份公司,40-50万/年
运营数据分析专家,杭州滴滴汽车服务有限公司,0.8-1.6万/月
数据专员/统计会计,深圳万谷盛世互联网科技有限公司,5-8千/月
大数据开发工程师,深圳市基克纳科技有限公司,3-4万/月
数据管理师,深圳市启瀛网络科技有限公司,0.8-1.5万/月
数据分析师,深圳街电科技有限公司,1.5-2.5万/月
数据分析助理,新蕾科技集团,4-8千/月
数据分析主管,深圳汇洁集团股份有限公司,1.5-2万/月
运营专员（数据分析方向）,深圳市百途鸿网络科技有限公司,5-6千/月
数据库管理专员,众安在线财产保险股份有限公司,1.5-3万/月
数据分析师,深圳市赛亿科技开发有限公司,6-8千/月
数据分析专员,深圳市光明新区建设发展集团有限公司,10-20万/年
大数据开发工程师,深圳市广通软件有限公司,0.8-1万/月
数据通信工程师,深圳市特发泰科通信科技有限公司,0.7-1.2万/月
数据仓库、ETL开发工程师,深圳市博安达信息技术股份有限公司,1.2-2万/月
商业策略办公室 数据分析师,周大福珠宝金行（深圳）有限公司,1-1.5万/月
大数据架构师,深圳华策辉弘科技有限公司,30-40万/年
高级数据仓库 工程师,深圳市顶尖传诚科技有限公司,1-1.5万/月
数据分析师,深圳泰中科技有限公司,0.8-1.5万/月
私有云-数据库运维工程师,上海盛世锦天网络科技有限公司,1.5-2万/月
数据库开发工程师(J10252),深圳昂楷科技有限公司,1-1.5万/月
数据开发工程师,深圳市客路网络科技有限公司,1.8-3.5万/月
数据录入员,中外运安迈世（上海）国际航空快递有限公司深圳分公司,3-4.5千/月
SQL SERVER 数据库程序,深圳市圣盛网络科技有限公司,1-1.6万/月
GIS数据实习生,上海杰狮信息技术有限公司,3-4.5千/月
数据挖掘工程师,深圳市你我金融信息服务有限公司,1.5-2.5万/月
数据挖掘工程师,深圳丝路天地电子商务有限公司,1.5-3万/月
数据产品经理,深圳市租电智能科技有限公司,1-2万/月
大数据开发工程师,苏州美生元信息科技有限公司北京分公司,0.8-1.5万/月
数据仓库工程师,深圳中兴飞贷金融科技有限公司,1.2-2.4万/月
数据库管理员（深圳）,华为手机营销项目-2018,1-2万/月
数据测试,上海博为峰软件技术有限公司,1-1.5万/月
数据分析,深圳深航商旅服务有限责任公司,6-8万/年
数据分析师,深圳市阿卡索资讯股份有限公司,1.8-3万/月
资深DBA/大数据架构师,深圳火星圈信息技术有限公司,3-6万/月
（急聘）电商数据分析专员,深圳市润丰数码技术有限公司,6-7千/月
数据挖掘工程师,上海通善互联网金融信息服务有限公司,2-3万/月
数据挖掘工程师,深圳爱米基因科技有限责任公司,2.5-3万/月
外资银行后台数据支持（深圳）,上海中智项目外包咨询服务有限公司,6-8千/月
数据分析经理,深圳市赛瑞产业研究有限公司,1-1.5万/月
项目管培生/网页推广/数据分析,广东明世教育集团有限公司深圳分公司,4-6千/月
数据分析专员/主管,上海宝原体育用品商贸有限公司广州分公司,6-8千/月
数据分析师,信必优(深圳)信息技术有限公司,7-9千/月
软件工程师（网络数据库方面）,深圳市大族三维科技有限公司,1-1.5万/月
大数据分析高级开发工程师,深圳市宏剑科技有限公司,2-4万/月
数据中心运维值班,云聚数据科技（上海）有限公司,6-9千/月
数据中心行业销售总监,广东欢联电子科技有限公司,0.8-1万/月
数据开发工程师,星美控股集团有限公司,1.3-2万/月
数据库工程师/DBA,前海国健华烟科技（深圳）有限公司,1-1.5万/月
数据专员（SFE）,沈阳三生制药有限责任公司,0.5-1.2万/月
系统运维工程师（大数据）,北京神州新桥科技有限公司,1.5-2万/月
大数据开发工程师,深圳市值值信息技术服务有限公司,1.5-2万/月
数据统计员,深圳市易购城科技股份有限公司,4-6千/月
DBA/数据专员,深圳乐悠游网络科技有限公司,1-2万/月
数据分析师,深圳市天行家科技有限公司,6-8千/月
商业数据分析经理,深圳善为影业股份有限公司,1.5-2万/月
大数据系统开发工程师,北京远鉴科技股份有限公司,2-2.5万/月
数据采集岗,山东高速金服,2.5-3万/月
数据开发工程师,深圳前海大数金融服务有限公司,2.5-3万/月
Splunk 开发工程师（大数据、安全）,精诚瑞宝计算机系统有限公司,0.8-1.6万/月
GIS数据处理工程师,深圳市科荣软件股份有限公司,1-2万/月
数据管理高级经理,记忆科技（深圳）有限公司,2-3万/月
数据分析师,华泰期货有限公司,1.5-2万/月
电商数据分析师/市场调研专员,常宁市润都投资置业有限公司,0.8-1.5万/月
运营数据经理,深圳市惊喜网购科技有限公司,1-1.6万/月
数据分析师（天津）,优诺（天津）服装有限公司,0.8-1.5万/月
运营专员（偏数据统计）,深圳市三合成科技有限公司,4-6千/月
数据分析专员,深圳市优美世界服饰有限公司,4-7千/月
