证券综合性人才#证券客户经理#证券经纪人,招商证券股份有限公司深圳福民路证券营业部,6-8千/月
证券经纪人,英大证券有限责任公司深圳龙华梅龙路证券营业部,3-4万/月
证券公司客服文员（行政班双休）,深圳市才智中南人力资源有限公司,4.5-6千/月
诚聘贷款 信托 证券销售代表（福田）,中国平安人寿保险股份有限公司深圳分公司,6-8千/月
股票交易员 A股操盘手 证券 高提成,深圳市兴业鸿基基金有限公司,1-1.5万/月
证券经纪人,方正证券股份有限公司深圳福永大道证券营业部,6-8千/月
应届毕业生-证券事务方向,深圳市美好创亿医疗科技有限公司,4.5-6千/月
国企证券中心投资咨询专员,深圳市才智中南人力资源有限公司,6-8千/月
证券经纪人,方正证券股份有限公司深圳布沙路证券营业部,0.6-1万/月
深圳益田路证券营业部柜台业务岗,天风证券股份有限公司,
证券经纪人,恒泰证券股份有限公司,0.5-2万/月
商务文员-证券公司驻点商务,深圳市神州动力数码有限公司,4.5-6千/月
投资（证券）经理,深圳市明昇发展有限公司,1.5-2万/月
证券经纪人,兴业证券股份有限公司深圳分公司,0.3-1.5万/月
证券事务专员,深圳市凯中精密技术股份有限公司,1-1.5万/月
证券经纪人sn,华福证券有限责任公司,3.5-7千/月
证券事务助理,深圳科创新源新材料股份有限公司,0.7-1.1万/月
平安综合金融--银行、保险、基金、证券、信托,中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
证券客户经理,申万宏源证券有限公司深圳深南大道证券营业部,8-15万/年
证券金融实习生,招商证券股份有限公司深圳中心路证券营业部,3-4.5千/月
证券实习生,方正证券股份有限公司深圳怡景路证券营业部,2-3千/月
证券客户经理,深圳市九号科技有限公司,2.5-3万/月
基金/证券合规岗,深圳前海邦诚基金管理有限公司,1.5-3万/月
股票操盘手/证券交易员,深圳汇瀜投资基金管理有限公司,1-1.5万/月
证券与公共关系(信息披露),深圳市共进电子股份有限公司,1-1.5万/月
投融资与证券经理 KID,金蝶软件（中国）有限公司,1.4-2.8万/月
自由证券经纪人,东莞证券股份有限公司深圳后海中心路证券营业部,1.5-2千/月
证券事务代表,富士康科技集团财会与投资总管理处,5-13万/年
证券分析师,深圳市珞珈投资咨询有限公司,0.8-4万/月
证券事务主管,深圳市瑞凌实业股份有限公司,0.8-1.2万/月
高薪证券渠道专员+双休,深圳市万福达信息咨询有限公司,6-8千/月
证券事务专员,深圳市同益实业股份有限公司,0.6-1万/月
初级证券事务代表,三态电子商务股份有限公司,6-8千/月
node后端开发工程师(广发证券),深圳市德科信息技术有限公司,1-1.5万/月
证券分析师,艾德商务信息咨询（深圳）有限公司,6-8千/月
证券事务专员,深圳市泰永科技股份有限公司,0.8-1万/月
深圳红岭南路证券营业部-账户管理岗,海通证券深圳分公司,
证券事务助理/证券事务专员/法务专员,宝德计算机,6-8千/月
董事长助理（金融/证券/融资）,中大电子商务（深圳）有限公司,1.5-2.5万/月
证券分析师/研究员,深圳前海旭鑫资产管理有限公司,0.6-1万/月
证券法务代表,深圳市广宁股份有限公司,1.5-2.5万/月
国企证券公司行政前台,杭州锐致商务咨询有限公司,5-7千/月
证券营业部负责人,西藏东方财富证券股份有限公司,0.8-2万/月
诚聘证券客户经理/证券经纪人,招商证券股份有限公司深圳前海自贸区梦海大道证券营业部,0.3-1.5万/月
证券经纪人,招商证券股份有限公司深圳前海路证券营业部,0.4-2万/月
生物医药行业证券分析师,深圳市裕晋投资有限公司,1-1.5万/月
证券经纪人,招商证券股份有限公司深圳龙岗龙岗大道证券营业部,0.2-1.2万/月
大客户经理（证券方向）,上海天旦网络科技发展有限公司,1.5-2.5万/月
中山证券客户服务岗,深圳市领航劳务派遣有限公司,4.5-6千/月
证券接听客服/月薪4500-6700/周末双休,深圳市昆盛企业管理咨询有限公司,4.5-6千/月
证券经纪人,招商证券股份有限公司深圳红荔西路证券营业部,4.5-6千/月
营业部证券经纪人（深圳）,中山证券有限责任公司,0.6-1万/月
证券专员,华讯方舟科技有限公司,1-1.5万/月
深圳福中路证券营业部-信息技术岗(J11200),渤海证券股份有限公司,6-8千/月
软件测试工程师(证券),信必优(深圳)信息技术有限公司,1-1.5万/月
证券金融讲师,深圳融易学教育科技有限公司,1500元/天
证券-数据库开发工程师（偏仓储）,深圳市金证科技股份有限公司,1.5-2.5万/月
证券事务代表,第一环保（深圳）股份有限公司,1-1.5万/月
证券部-项目负责人,深圳市摩天之星企业管理股份有限公司,1-5万/月
18436-资产证券化云平台金融风控专家,深圳市腾讯计算机系统有限公司,
基金 证券 银行 保险 销售,香港康宏金融集团（康宏爱飞）,0.8-1万/月
证券业务PHP开发工程师,富途网络科技（深圳）有限公司,1.4-2.8万/月
证券事务代表,深圳投哪金融服务有限公司,0.8-2万/月
证券/期货/外汇经纪人（农产品现货）,深圳市恒诚远信商务咨询有限公司,0.8-1.5万/月
资产证券化业务高级经理/总监,深圳市小草云链科技有限公司,1-2万/月
证券业务运营助理,深圳价值网络科技有限公司,0.6-1万/月
高薪招聘证券电销,深圳星帆信息技术有限公司,0.8-1万/月
证券管理部实习生(J10298),深圳翰宇药业股份有限公司,2-3千/月
证券经理,正中投资集团有限公司,2-3万/月
证券经纪人/客户经理/考前培训生,招商证券股份有限公司深圳蛇口工业七路证券营业部,3-4.5千/月
高薪急聘 综合金融优才计划（保险、银行、证券）,中国平安人寿保险股份有限公司深圳分公司,10-15万/年
信用卡 贷款 理财 证券 销售 /业务推广,中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
平安综合金融客户经理 证券 银行 保险销售经理(龙岗),中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
证券综合业务经纪人,国泰君安证券股份有限公司深圳深南大道京基一百证券营业部,6-8千/月
证券代表(J10407),深圳奥雅设计股份有限公司,1-1.5万/月
证券分析师,大连国金鼎盛商品经营有限公司深圳分公司,0.8-1万/月
证券投资研究员,深圳市启富证券投资顾问有限公司,6-8千/月
证券股票咨询顾问,上海新兰德证券投资咨询顾问有限公司深圳分公司,0.8-1万/月
交易助理（山西证券）,深圳市鑫锦程人力资源管理有限公司,4.5-6千/月
证券经纪人,国泰君安证券深圳松岗营业部,0.2-1万/月
证券代表,深圳市芭田生态工程股份有限公司,1-2万/月
证券分公司财务经理,财通证券股份有限公司,0.5-1.5万/月
证券分析师,深圳市波特城投资管理有限公司,0.8-1.5万/月
证券专员/法务专员,深圳市维都利电子有限公司,4.5-6千/月
证券代表,深圳奥景源科技有限公司,1-2万/月
证券经纪人,中航证券有限公司深圳春风路证券营业部,0.5-1万/月
证券事务助理,深圳市达特照明股份有限公司,4.5-6千/月
证券经纪人,国泰君安证券深圳龙岗大道营业部,0.2-1万/月
证券经纪人,深圳新金川资本管理有限公司,1-1.5万/月
证券研究员,深圳市尊道投资有限公司,6-8千/月
证券经纪人,中国银河证券股份有限公司深圳罗湖证券营业部,3-4.5千/月
证券事务代表,深圳市大满包装有限公司,1-1.5万/月
证券事务专员,深圳万润科技股份有限公司,0.6-1.2万/月
证券事务代表,深圳市高德信通信股份有限公司,0.7-1.5万/月
平安综合金融客户经理 证券 银行 保险销售经理1,中国平安人寿保险股份有限公司深圳分公司,2.5-3万/月
法务经理（证券方向）,飞尚实业集团有限公司,18-30万/年
证券事务代表,深圳一方美度供应链管理股份有限公司,0.8-1万/月
证券事务代表,深圳市龙澄高科技环保(集团)有限公司,1-1.5万/月
月薪10K招证券女主播,深圳市创略投资信息咨询有限公司,0.8-1万/月
证券事务兼审计专员,深圳信测标准技术服务股份有限公司,6-8千/月
国信证券高薪招聘正编客服,广东鸿联九五信息产业有限公司,6-8千/月
诚聘证券经纪人 客户经理,安信证券股份有限公司深圳石厦北二街证券营业部,3-4.5千/月
证券分析师,深圳市前海迈信互联网金融服务有限公司,0.5-2万/月
证券客户经理,深圳市道赢资产管理有限公司,2-2.5万/月
051184-证券财富顾问,平安证券股份有限公司,1-1.5万/月
证券经纪人,招商证券股份有限公司深圳建安路证券营业部,4.5-6千/月
证券事务助理,深圳世联行地产顾问股份有限公司,8-10万/年
证券信息编辑,上海大智慧股份有限公司,4.8-5.5千/月
证券投资研究员,深圳麦高控股股份有限公司,1-1.5万/月
证券事务代表,八马茶业股份有限公司,1.5-2万/月
基金证券销售经理,一瑄咨询服务深圳有限公司,1-1.5万/月
